gene	kog
Amillepora01082	Posttranslational modification, protein turnover, chaperones
Amillepora01091	Function Unknown
Amillepora01093	Replication, recombination and repair
Amillepora01089	RNA processing and modification
Amillepora01087	Cytoskeleton
Amillepora01086	Signal transduction mechanisms
Amillepora01090	Transcription
Amillepora01092	Function Unknown
Amillepora01094	Function Unknown
Amillepora01095	Transcription
Amillepora01103	Function Unknown
Amillepora01099	Intracellular trafficking, secretion, and vesicular transport
Amillepora01102	Function Unknown
Amillepora01096	Transcription
Amillepora01100	Function Unknown
Amillepora01101	Function Unknown
Amillepora01107	Signal transduction mechanisms
Amillepora01106	Transcription
Amillepora01108	Signal transduction mechanisms
Amillepora01105	Function Unknown
Amillepora01116	Intracellular trafficking, secretion, and vesicular transport
Amillepora01116	Cytoskeleton
Amillepora01115	Intracellular trafficking, secretion, and vesicular transport
Amillepora01115	Cytoskeleton
Amillepora01110	Signal transduction mechanisms
Amillepora01111	Function Unknown
Amillepora01113	Function Unknown
Amillepora01131	Replication, recombination and repair
Amillepora01133	RNA processing and modification
Amillepora01125	Posttranslational modification, protein turnover, chaperones
Amillepora01134	Signal transduction mechanisms
Amillepora01129	RNA processing and modification
Amillepora01132	Posttranslational modification, protein turnover, chaperones
Amillepora01130	Cell cycle control, cell division, chromosome partitioning
Amillepora01130	Transcription
Amillepora01130	Signal transduction mechanisms
Amillepora01127	Coenzyme transport and metabolism
Amillepora01128	Posttranslational modification, protein turnover, chaperones
Amillepora01123	Function Unknown
Amillepora01124	Translation, ribosomal structure and biogenesis
Amillepora01141	Transcription
Amillepora01143	Intracellular trafficking, secretion, and vesicular transport
Amillepora01138	Function Unknown
Amillepora01137	Translation, ribosomal structure and biogenesis
Amillepora01136	Replication, recombination and repair
Amillepora01135	Signal transduction mechanisms
Amillepora01153	Function Unknown
Amillepora01152	Transcription
Amillepora01150	Cytoskeleton
Amillepora01142	Lipid transport and metabolism
Amillepora01154	Translation, ribosomal structure and biogenesis
Amillepora01144	Carbohydrate transport and metabolism
Amillepora01146	Signal transduction mechanisms
Amillepora01147	Function Unknown
Amillepora01155	Signal transduction mechanisms
Amillepora01157	Transcription
Amillepora01168	Function Unknown
Amillepora01177	Intracellular trafficking, secretion, and vesicular transport
Amillepora01182	Posttranslational modification, protein turnover, chaperones
Amillepora01178	Intracellular trafficking, secretion, and vesicular transport
Amillepora01185	Signal transduction mechanisms
Amillepora01185	Extracellular structures
Amillepora01183	Lipid transport and metabolism
Amillepora01188	Signal transduction mechanisms
Amillepora01188	Extracellular structures
Amillepora01191	Lipid transport and metabolism
Amillepora01192	Posttranslational modification, protein turnover, chaperones
Amillepora01201	Energy production and conversion
Amillepora01199	Intracellular trafficking, secretion, and vesicular transport
Amillepora01202	Cytoskeleton
Amillepora01198	Intracellular trafficking, secretion, and vesicular transport
Amillepora01200	Cell cycle control, cell division, chromosome partitioning
Amillepora01206	Transcription
Amillepora01207	Transcription
Amillepora01210	Translation, ribosomal structure and biogenesis
Amillepora01212	RNA processing and modification
Amillepora01205	Transcription
Amillepora01211	Posttranslational modification, protein turnover, chaperones
Amillepora01209	Signal transduction mechanisms
Amillepora01204	Transcription
Amillepora01213	Signal transduction mechanisms
Amillepora01217	Function Unknown
Amillepora01214	Coenzyme transport and metabolism
Amillepora01216	RNA processing and modification
Amillepora01215	Signal transduction mechanisms
Amillepora01226	Function Unknown
Amillepora01224	RNA processing and modification
Amillepora01227	Secondary metabolites biosynthesis, transport and catabolism
Amillepora01230	Function Unknown
Amillepora01221	Transcription
Amillepora01225	Function Unknown
Amillepora01229	Function Unknown
Amillepora01220	Signal transduction mechanisms
Amillepora01244	Inorganic ion transport and metabolism
Amillepora01232	Function Unknown
Amillepora01235	Energy production and conversion
Amillepora01255	Signal transduction mechanisms
Amillepora01255	Extracellular structures
Amillepora01243	Energy production and conversion
Amillepora01240	Function Unknown
Amillepora01246	Translation, ribosomal structure and biogenesis
Amillepora01242	Energy production and conversion
Amillepora01249	Energy production and conversion
Amillepora01245	Intracellular trafficking, secretion, and vesicular transport
Amillepora01239	Signal transduction mechanisms
Amillepora01266	Cytoskeleton
Amillepora01261	Translation, ribosomal structure and biogenesis
Amillepora01257	Intracellular trafficking, secretion, and vesicular transport
Amillepora01263	Signal transduction mechanisms
Amillepora01269	Transcription
Amillepora01267	Signal transduction mechanisms
Amillepora01267	Defense mechanisms
Amillepora01270	Transcription
Amillepora01268	Signal transduction mechanisms
Amillepora01273	Signal transduction mechanisms
Amillepora01272	Translation, ribosomal structure and biogenesis
Amillepora01271	Function Unknown
Amillepora01277	Function Unknown
Amillepora01274	Signal transduction mechanisms
Amillepora01279	Function Unknown
Amillepora01282	Posttranslational modification, protein turnover, chaperones
Amillepora01280	RNA processing and modification
Amillepora01278	Function Unknown
Amillepora01275	Intracellular trafficking, secretion, and vesicular transport
Amillepora01286	RNA processing and modification
Amillepora01288	Function Unknown
Amillepora01295	Cell wall/membrane/envelope biogenesis
Amillepora01295	Extracellular structures
Amillepora01290	Intracellular trafficking, secretion, and vesicular transport
Amillepora01289	Function Unknown
Amillepora01283	Posttranslational modification, protein turnover, chaperones
Amillepora01292	Signal transduction mechanisms
Amillepora01287	Function Unknown
Amillepora01301	Transcription
Amillepora01297	Cell wall/membrane/envelope biogenesis
Amillepora01297	Extracellular structures
Amillepora01302	Transcription
Amillepora01300	Cell wall/membrane/envelope biogenesis
Amillepora01300	Extracellular structures
Amillepora01298	Cell wall/membrane/envelope biogenesis
Amillepora01298	Extracellular structures
Amillepora01306	Posttranslational modification, protein turnover, chaperones
Amillepora01309	Function Unknown
Amillepora01316	Energy production and conversion
Amillepora01314	Lipid transport and metabolism
Amillepora01315	Lipid transport and metabolism
Amillepora01313	Lipid transport and metabolism
Amillepora01305	Signal transduction mechanisms
Amillepora01303	Energy production and conversion
Amillepora01319	Function Unknown
Amillepora01323	Function Unknown
Amillepora01324	Transcription
Amillepora01320	Function Unknown
Amillepora01325	Secondary metabolites biosynthesis, transport and catabolism
Amillepora01329	Lipid transport and metabolism
Amillepora01329	Translation, ribosomal structure and biogenesis
Amillepora01329	Signal transduction mechanisms
Amillepora01328	Translation, ribosomal structure and biogenesis
Amillepora01334	Function Unknown
Amillepora01336	Function Unknown
Amillepora01332	Intracellular trafficking, secretion, and vesicular transport
Amillepora01333	Signal transduction mechanisms
Amillepora01337	Function Unknown
Amillepora01335	Signal transduction mechanisms
Amillepora01344	Signal transduction mechanisms
Amillepora01344	Defense mechanisms
Amillepora01343	Signal transduction mechanisms
Amillepora01343	Defense mechanisms
Amillepora01340	Signal transduction mechanisms
Amillepora01340	Defense mechanisms
Amillepora01345	Signal transduction mechanisms
Amillepora01345	Defense mechanisms
Amillepora01346	Signal transduction mechanisms
Amillepora01346	Defense mechanisms
Amillepora01349	Signal transduction mechanisms
Amillepora01349	Defense mechanisms
Amillepora01352	Signal transduction mechanisms
Amillepora01352	Defense mechanisms
Amillepora01365	Posttranslational modification, protein turnover, chaperones
Amillepora01363	Posttranslational modification, protein turnover, chaperones
Amillepora01366	Lipid transport and metabolism
Amillepora01368	Signal transduction mechanisms
Amillepora01368	Defense mechanisms
Amillepora01362	Signal transduction mechanisms
Amillepora01362	Defense mechanisms
Amillepora01356	Signal transduction mechanisms
Amillepora01356	Defense mechanisms
Amillepora01353	Posttranslational modification, protein turnover, chaperones
Amillepora01354	Signal transduction mechanisms
Amillepora01360	Signal transduction mechanisms
Amillepora01360	Defense mechanisms
Amillepora01355	Signal transduction mechanisms
Amillepora01355	Defense mechanisms
Amillepora01370	Signal transduction mechanisms
Amillepora01371	Intracellular trafficking, secretion, and vesicular transport
Amillepora01378	Intracellular trafficking, secretion, and vesicular transport
Amillepora01378	Nuclear structure
Amillepora01375	Signal transduction mechanisms
Amillepora01374	Signal transduction mechanisms
Amillepora01374	Defense mechanisms
Amillepora01376	Function Unknown
Amillepora01372	Signal transduction mechanisms
Amillepora01372	Defense mechanisms
Amillepora01373	Signal transduction mechanisms
Amillepora01373	Defense mechanisms
Amillepora01382	Signal transduction mechanisms
Amillepora01383	Transcription
Amillepora01387	Cell wall/membrane/envelope biogenesis
Amillepora01385	Function Unknown
Amillepora01384	Posttranslational modification, protein turnover, chaperones
Amillepora01393	Function Unknown
Amillepora01397	Signal transduction mechanisms
Amillepora01390	Signal transduction mechanisms
Amillepora01389	Function Unknown
Amillepora01391	Carbohydrate transport and metabolism
Amillepora01392	Signal transduction mechanisms
Amillepora01403	Function Unknown
Amillepora01401	Transcription
Amillepora01407	Inorganic ion transport and metabolism
Amillepora01406	Function Unknown
Amillepora01410	Transcription
Amillepora01409	Function Unknown
Amillepora01415	Posttranslational modification, protein turnover, chaperones
Amillepora01408	Inorganic ion transport and metabolism
Amillepora01408	Signal transduction mechanisms
Amillepora01421	Posttranslational modification, protein turnover, chaperones
Amillepora01416	Inorganic ion transport and metabolism
Amillepora01420	Inorganic ion transport and metabolism
Amillepora01426	Function Unknown
Amillepora01428	Transcription
Amillepora01427	Signal transduction mechanisms
Amillepora01424	Transcription
Amillepora01429	Translation, ribosomal structure and biogenesis
Amillepora01431	Posttranslational modification, protein turnover, chaperones
Amillepora01430	Intracellular trafficking, secretion, and vesicular transport
Amillepora01432	Replication, recombination and repair
Amillepora01433	Transcription
Amillepora01436	Inorganic ion transport and metabolism
Amillepora01440	Function Unknown
Amillepora01437	Carbohydrate transport and metabolism
Amillepora01443	Lipid transport and metabolism
Amillepora01444	Intracellular trafficking, secretion, and vesicular transport
Amillepora01446	Extracellular structures
Amillepora01442	Function Unknown
Amillepora01452	Lipid transport and metabolism
Amillepora01454	Function Unknown
Amillepora01456	Carbohydrate transport and metabolism
Amillepora01453	Function Unknown
Amillepora01450	Intracellular trafficking, secretion, and vesicular transport
Amillepora01458	Inorganic ion transport and metabolism
Amillepora01447	Extracellular structures
Amillepora01467	Signal transduction mechanisms
Amillepora01466	Transcription
Amillepora01465	Translation, ribosomal structure and biogenesis
Amillepora01459	Transcription
Amillepora01462	Posttranslational modification, protein turnover, chaperones
Amillepora01463	Intracellular trafficking, secretion, and vesicular transport
Amillepora01461	Replication, recombination and repair
Amillepora01464	Intracellular trafficking, secretion, and vesicular transport
Amillepora01471	RNA processing and modification
Amillepora01469	Cytoskeleton
Amillepora01470	Chromatin structure and dynamics
Amillepora01470	Signal transduction mechanisms
Amillepora01473	Function Unknown
Amillepora01481	Inorganic ion transport and metabolism
Amillepora01487	Function Unknown
Amillepora01483	Signal transduction mechanisms
Amillepora01485	Signal transduction mechanisms
Amillepora01484	Signal transduction mechanisms
Amillepora01486	Signal transduction mechanisms
Amillepora01482	Translation, ribosomal structure and biogenesis
Amillepora01492	Function Unknown
Amillepora01489	Function Unknown
Amillepora01495	Lipid transport and metabolism
Amillepora01505	Posttranslational modification, protein turnover, chaperones
Amillepora01493	Lipid transport and metabolism
Amillepora01506	Function Unknown
Amillepora01504	Signal transduction mechanisms
Amillepora01496	Coenzyme transport and metabolism
Amillepora01509	Function Unknown
Amillepora01513	Function Unknown
Amillepora01516	Signal transduction mechanisms
Amillepora01511	Function Unknown
Amillepora01515	Posttranslational modification, protein turnover, chaperones
Amillepora01510	Function Unknown
Amillepora01517	Signal transduction mechanisms
Amillepora01519	Coenzyme transport and metabolism
Amillepora01526	Lipid transport and metabolism
Amillepora01528	Lipid transport and metabolism
Amillepora01532	Function Unknown
Amillepora01533	Function Unknown
Amillepora01536	Function Unknown
Amillepora01540	Carbohydrate transport and metabolism
Amillepora01547	Posttranslational modification, protein turnover, chaperones
Amillepora01544	Transcription
Amillepora01544	Signal transduction mechanisms
Amillepora01549	Function Unknown
Amillepora01551	Inorganic ion transport and metabolism
Amillepora01551	Signal transduction mechanisms
Amillepora01550	Function Unknown
Amillepora01552	Replication, recombination and repair
Amillepora01561	Transcription
Amillepora01563	Function Unknown
Amillepora01554	Function Unknown
Amillepora01556	Function Unknown
Amillepora01564	Function Unknown
Amillepora01558	Function Unknown
Amillepora01557	Function Unknown
Amillepora01560	Function Unknown
Amillepora01555	Function Unknown
Amillepora01559	Function Unknown
Amillepora01566	Function Unknown
Amillepora01574	Function Unknown
Amillepora01568	Function Unknown
Amillepora01580	Function Unknown
Amillepora01581	Function Unknown
Amillepora01579	Function Unknown
Amillepora01577	Function Unknown
Amillepora01582	Function Unknown
Amillepora01576	Function Unknown
Amillepora01578	Function Unknown
Amillepora01592	Intracellular trafficking, secretion, and vesicular transport
Amillepora01588	Function Unknown
Amillepora01589	Function Unknown
Amillepora01584	Function Unknown
Amillepora01590	Cytoskeleton
Amillepora01586	Function Unknown
Amillepora01598	Signal transduction mechanisms
Amillepora01595	Transcription
Amillepora01594	Inorganic ion transport and metabolism
Amillepora01596	Signal transduction mechanisms
Amillepora01600	Intracellular trafficking, secretion, and vesicular transport
Amillepora01597	Translation, ribosomal structure and biogenesis
Amillepora01602	Signal transduction mechanisms
Amillepora01601	Function Unknown
Amillepora01610	Replication, recombination and repair
Amillepora01604	Signal transduction mechanisms
Amillepora01606	Nucleotide transport and metabolism
Amillepora01607	Replication, recombination and repair
Amillepora01611	Cell wall/membrane/envelope biogenesis
Amillepora01616	Function Unknown
Amillepora01612	Cell wall/membrane/envelope biogenesis
Amillepora01617	Signal transduction mechanisms
Amillepora01614	Intracellular trafficking, secretion, and vesicular transport
Amillepora01619	Transcription
Amillepora01620	Posttranslational modification, protein turnover, chaperones
Amillepora01621	Posttranslational modification, protein turnover, chaperones
Amillepora01675	Function Unknown
Amillepora01687	Replication, recombination and repair
Amillepora01684	Function Unknown
Amillepora01683	Function Unknown
Amillepora01685	Function Unknown
Amillepora01682	Function Unknown
Amillepora01686	Replication, recombination and repair
Amillepora01697	Function Unknown
Amillepora01690	Function Unknown
Amillepora01692	Function Unknown
Amillepora01694	Function Unknown
Amillepora01689	Function Unknown
Amillepora01691	Function Unknown
Amillepora01701	Function Unknown
Amillepora01703	Function Unknown
Amillepora01699	Carbohydrate transport and metabolism
Amillepora01704	Function Unknown
Amillepora01702	Function Unknown
Amillepora01707	Signal transduction mechanisms
Amillepora01705	Signal transduction mechanisms
Amillepora01708	Signal transduction mechanisms
Amillepora01716	Function Unknown
Amillepora01724	Replication, recombination and repair
Amillepora01717	Signal transduction mechanisms
Amillepora01719	Signal transduction mechanisms
Amillepora01735	Inorganic ion transport and metabolism
Amillepora01733	Function Unknown
Amillepora01734	Posttranslational modification, protein turnover, chaperones
Amillepora01732	Function Unknown
Amillepora01738	Lipid transport and metabolism
Amillepora01737	Signal transduction mechanisms
Amillepora01739	Function Unknown
Amillepora01736	Signal transduction mechanisms
Amillepora01745	Function Unknown
Amillepora01741	Function Unknown
Amillepora01742	Function Unknown
Amillepora01743	RNA processing and modification
Amillepora01744	Function Unknown
Amillepora01760	Cell motility
Amillepora01759	Posttranslational modification, protein turnover, chaperones
Amillepora01756	Energy production and conversion
Amillepora01749	Function Unknown
Amillepora01747	Function Unknown
Amillepora01753	Function Unknown
Amillepora01751	Inorganic ion transport and metabolism
Amillepora01751	Signal transduction mechanisms
Amillepora01752	Function Unknown
Amillepora01758	Extracellular structures
Amillepora01755	Carbohydrate transport and metabolism
Amillepora01772	Posttranslational modification, protein turnover, chaperones
Amillepora01771	Function Unknown
Amillepora01769	RNA processing and modification
Amillepora01763	Intracellular trafficking, secretion, and vesicular transport
Amillepora01768	Signal transduction mechanisms
Amillepora01764	Posttranslational modification, protein turnover, chaperones
Amillepora01779	Function Unknown
Amillepora01780	Function Unknown
Amillepora01782	Energy production and conversion
Amillepora01778	RNA processing and modification
Amillepora01781	Signal transduction mechanisms
Amillepora01783	Transcription
Amillepora01788	Signal transduction mechanisms
Amillepora01789	Energy production and conversion
Amillepora01784	Extracellular structures
Amillepora01792	Function Unknown
Amillepora01791	Replication, recombination and repair
Amillepora01793	Function Unknown
Amillepora01802	Signal transduction mechanisms
Amillepora01798	Function Unknown
Amillepora01799	Function Unknown
Amillepora01803	Function Unknown
Amillepora01796	Carbohydrate transport and metabolism
Amillepora01804	Posttranslational modification, protein turnover, chaperones
Amillepora01805	Signal transduction mechanisms
Amillepora01806	Posttranslational modification, protein turnover, chaperones
Amillepora01807	Function Unknown
Amillepora01808	Signal transduction mechanisms
Amillepora01812	Intracellular trafficking, secretion, and vesicular transport
Amillepora01810	Function Unknown
Amillepora01811	Replication, recombination and repair
Amillepora01813	Intracellular trafficking, secretion, and vesicular transport
Amillepora01815	Posttranslational modification, protein turnover, chaperones
Amillepora01814	Posttranslational modification, protein turnover, chaperones
Amillepora01818	Function Unknown
Amillepora01820	Function Unknown
Amillepora01817	Function Unknown
Amillepora01825	Function Unknown
Amillepora01836	Replication, recombination and repair
Amillepora01845	Function Unknown
Amillepora01844	Lipid transport and metabolism
Amillepora01846	Extracellular structures
Amillepora01847	Function Unknown
Amillepora01848	Extracellular structures
Amillepora01849	Extracellular structures
Amillepora01858	Function Unknown
Amillepora01855	RNA processing and modification
Amillepora01853	Function Unknown
Amillepora01852	Function Unknown
Amillepora01860	Function Unknown
Amillepora01872	Carbohydrate transport and metabolism
Amillepora01873	Function Unknown
Amillepora01866	Function Unknown
Amillepora01868	Carbohydrate transport and metabolism
Amillepora01869	Intracellular trafficking, secretion, and vesicular transport
Amillepora01869	Nuclear structure
Amillepora01867	RNA processing and modification
Amillepora01875	Cytoskeleton
Amillepora01874	Intracellular trafficking, secretion, and vesicular transport
Amillepora01881	Function Unknown
Amillepora01882	Function Unknown
Amillepora01887	Function Unknown
Amillepora01894	Energy production and conversion
Amillepora01891	Posttranslational modification, protein turnover, chaperones
Amillepora01893	Posttranslational modification, protein turnover, chaperones
Amillepora01890	Function Unknown
Amillepora01889	Function Unknown
Amillepora01898	Signal transduction mechanisms
Amillepora01899	Function Unknown
Amillepora01901	Function Unknown
Amillepora01895	Function Unknown
Amillepora01902	Function Unknown
Amillepora01904	Function Unknown
Amillepora01915	Replication, recombination and repair
Amillepora01906	Function Unknown
Amillepora01910	Replication, recombination and repair
Amillepora01916	Function Unknown
Amillepora01913	Function Unknown
Amillepora01912	Function Unknown
Amillepora01911	Carbohydrate transport and metabolism
Amillepora01919	Posttranslational modification, protein turnover, chaperones
Amillepora01920	Posttranslational modification, protein turnover, chaperones
Amillepora01922	Carbohydrate transport and metabolism
Amillepora01923	Function Unknown
Amillepora01935	Replication, recombination and repair
Amillepora01936	Translation, ribosomal structure and biogenesis
Amillepora01929	Function Unknown
Amillepora01939	Signal transduction mechanisms
Amillepora01944	Signal transduction mechanisms
Amillepora01943	Replication, recombination and repair
Amillepora01947	Signal transduction mechanisms
Amillepora01948	Function Unknown
Amillepora01950	Signal transduction mechanisms
Amillepora01951	Replication, recombination and repair
Amillepora01955	Function Unknown
Amillepora01954	Replication, recombination and repair
Amillepora01957	Replication, recombination and repair
Amillepora01960	Function Unknown
Amillepora01962	Posttranslational modification, protein turnover, chaperones
Amillepora01958	Replication, recombination and repair
Amillepora01971	Function Unknown
Amillepora01977	Function Unknown
Amillepora01974	Function Unknown
Amillepora01979	Carbohydrate transport and metabolism
Amillepora01980	Function Unknown
Amillepora01983	Signal transduction mechanisms
Amillepora01982	Function Unknown
Amillepora01995	RNA processing and modification
Amillepora01990	RNA processing and modification
Amillepora01989	Signal transduction mechanisms
Amillepora01989	Intracellular trafficking, secretion, and vesicular transport
Amillepora02001	Translation, ribosomal structure and biogenesis
Amillepora01999	Function Unknown
Amillepora02002	Function Unknown
Amillepora01998	Posttranslational modification, protein turnover, chaperones
Amillepora01992	RNA processing and modification
Amillepora02000	Signal transduction mechanisms
Amillepora01996	Transcription
Amillepora01993	Signal transduction mechanisms
Amillepora02012	Signal transduction mechanisms
Amillepora02003	Signal transduction mechanisms
Amillepora02009	Function Unknown
Amillepora02004	Signal transduction mechanisms
Amillepora02011	Signal transduction mechanisms
Amillepora02008	Replication, recombination and repair
Amillepora02006	Function Unknown
Amillepora02017	Transcription
Amillepora02014	Signal transduction mechanisms
Amillepora02019	Transcription
Amillepora02016	Transcription
Amillepora02022	Transcription
Amillepora02025	Function Unknown
Amillepora02023	Posttranslational modification, protein turnover, chaperones
Amillepora02021	Signal transduction mechanisms
Amillepora02021	Intracellular trafficking, secretion, and vesicular transport
Amillepora02024	Intracellular trafficking, secretion, and vesicular transport
Amillepora02020	Replication, recombination and repair
Amillepora02026	Transcription
Amillepora02030	Inorganic ion transport and metabolism
Amillepora02030	Signal transduction mechanisms
Amillepora02029	Signal transduction mechanisms
Amillepora02028	Signal transduction mechanisms
Amillepora02027	Transcription
Amillepora02034	Function Unknown
Amillepora02031	Transcription
Amillepora02032	Function Unknown
Amillepora02038	Extracellular structures
Amillepora02041	Function Unknown
Amillepora02045	Function Unknown
Amillepora02051	Function Unknown
Amillepora02050	Function Unknown
Amillepora02052	Carbohydrate transport and metabolism
Amillepora02058	Function Unknown
Amillepora02064	Function Unknown
Amillepora02061	Inorganic ion transport and metabolism
Amillepora02061	Signal transduction mechanisms
Amillepora02065	Function Unknown
Amillepora02062	Function Unknown
Amillepora02067	Function Unknown
Amillepora02066	Function Unknown
Amillepora02073	Cell cycle control, cell division, chromosome partitioning
Amillepora02072	Function Unknown
Amillepora02074	Function Unknown
Amillepora02071	Signal transduction mechanisms
Amillepora02069	Carbohydrate transport and metabolism
Amillepora02068	Carbohydrate transport and metabolism
Amillepora02079	Carbohydrate transport and metabolism
Amillepora02076	Function Unknown
Amillepora02080	Carbohydrate transport and metabolism
Amillepora02082	Function Unknown
Amillepora02084	Replication, recombination and repair
Amillepora02077	Function Unknown
Amillepora02078	Function Unknown
Amillepora02087	Function Unknown
Amillepora02083	Function Unknown
Amillepora02089	Function Unknown
Amillepora02092	Chromatin structure and dynamics
Amillepora02092	Cell cycle control, cell division, chromosome partitioning
Amillepora02095	Intracellular trafficking, secretion, and vesicular transport
Amillepora02093	Translation, ribosomal structure and biogenesis
Amillepora02094	Function Unknown
Amillepora02097	Function Unknown
Amillepora02102	Signal transduction mechanisms
Amillepora02101	Carbohydrate transport and metabolism
Amillepora02117	Function Unknown
Amillepora02110	Lipid transport and metabolism
Amillepora02111	Signal transduction mechanisms
Amillepora02113	Lipid transport and metabolism
Amillepora02112	Function Unknown
Amillepora02106	Function Unknown
Amillepora02123	Cell cycle control, cell division, chromosome partitioning
Amillepora02128	Function Unknown
Amillepora02126	Signal transduction mechanisms
Amillepora02133	Function Unknown
Amillepora02132	Function Unknown
Amillepora02131	Replication, recombination and repair
Amillepora02134	Lipid transport and metabolism
Amillepora02136	Function Unknown
Amillepora02138	Function Unknown
Amillepora02184	Function Unknown
Amillepora02183	Replication, recombination and repair
Amillepora02177	Carbohydrate transport and metabolism
Amillepora02187	Function Unknown
Amillepora02196	Function Unknown
Amillepora02193	Chromatin structure and dynamics
Amillepora02193	Cell cycle control, cell division, chromosome partitioning
Amillepora02198	Function Unknown
Amillepora02204	Function Unknown
Amillepora02197	Replication, recombination and repair
Amillepora02201	Function Unknown
Amillepora02200	Function Unknown
Amillepora02199	Function Unknown
Amillepora02206	Carbohydrate transport and metabolism
Amillepora02211	Function Unknown
Amillepora02210	Function Unknown
Amillepora02213	Inorganic ion transport and metabolism
Amillepora02213	Signal transduction mechanisms
Amillepora02222	Function Unknown
Amillepora02227	Function Unknown
Amillepora02226	Carbohydrate transport and metabolism
Amillepora02230	Signal transduction mechanisms
Amillepora02236	Function Unknown
Amillepora02234	Carbohydrate transport and metabolism
Amillepora02235	Function Unknown
Amillepora02231	Inorganic ion transport and metabolism
Amillepora02231	Signal transduction mechanisms
Amillepora02233	Function Unknown
Amillepora02243	Function Unknown
Amillepora02244	Function Unknown
Amillepora02249	Function Unknown
Amillepora02250	Function Unknown
Amillepora02248	Function Unknown
Amillepora02253	Replication, recombination and repair
Amillepora02254	Function Unknown
Amillepora02256	Function Unknown
Amillepora02259	Replication, recombination and repair
Amillepora02260	Function Unknown
Amillepora02273	Replication, recombination and repair
Amillepora02272	Replication, recombination and repair
Amillepora02271	Function Unknown
Amillepora02263	Replication, recombination and repair
Amillepora02275	Function Unknown
Amillepora02277	Function Unknown
Amillepora02276	Function Unknown
Amillepora02293	Carbohydrate transport and metabolism
Amillepora02292	Function Unknown
Amillepora02299	Function Unknown
Amillepora02300	Inorganic ion transport and metabolism
Amillepora02300	Signal transduction mechanisms
Amillepora02307	Function Unknown
Amillepora02308	Function Unknown
Amillepora02318	Posttranslational modification, protein turnover, chaperones
Amillepora02311	Replication, recombination and repair
Amillepora02312	Replication, recombination and repair
Amillepora02315	Function Unknown
Amillepora02316	Function Unknown
Amillepora02323	Signal transduction mechanisms
Amillepora02322	Signal transduction mechanisms
Amillepora02324	Replication, recombination and repair
Amillepora02319	Function Unknown
Amillepora02325	Replication, recombination and repair
Amillepora02333	Function Unknown
Amillepora02326	Inorganic ion transport and metabolism
Amillepora02330	Inorganic ion transport and metabolism
Amillepora02328	Inorganic ion transport and metabolism
Amillepora02343	Chromatin structure and dynamics
Amillepora02342	Replication, recombination and repair
Amillepora02336	Function Unknown
Amillepora02341	Function Unknown
Amillepora02345	Function Unknown
Amillepora02340	Function Unknown
Amillepora02350	Function Unknown
Amillepora02346	Function Unknown
Amillepora02356	Function Unknown
Amillepora02355	Function Unknown
Amillepora02353	Function Unknown
Amillepora02357	Function Unknown
Amillepora02361	Function Unknown
Amillepora02358	Function Unknown
Amillepora02363	Function Unknown
Amillepora02369	Transcription
Amillepora02371	Function Unknown
Amillepora02372	Posttranslational modification, protein turnover, chaperones
Amillepora02367	Function Unknown
Amillepora02376	Inorganic ion transport and metabolism
Amillepora02376	Signal transduction mechanisms
Amillepora02386	Function Unknown
Amillepora02379	Replication, recombination and repair
Amillepora02380	Function Unknown
Amillepora02377	Replication, recombination and repair
Amillepora02378	Replication, recombination and repair
Amillepora02384	Function Unknown
Amillepora02387	Function Unknown
Amillepora02389	Function Unknown
Amillepora02388	Posttranslational modification, protein turnover, chaperones
Amillepora02391	Function Unknown
Amillepora02390	Function Unknown
Amillepora02393	Function Unknown
Amillepora02394	Function Unknown
Amillepora02398	Signal transduction mechanisms
Amillepora02396	Function Unknown
Amillepora02395	Function Unknown
Amillepora02400	Function Unknown
Amillepora02401	Transcription
Amillepora02406	Function Unknown
Amillepora02408	Function Unknown
Amillepora02409	Replication, recombination and repair
Amillepora02411	Function Unknown
Amillepora02422	Replication, recombination and repair
Amillepora02423	Function Unknown
Amillepora02432	Function Unknown
Amillepora02439	Replication, recombination and repair
Amillepora02440	Function Unknown
Amillepora02433	Function Unknown
Amillepora02445	Transcription
Amillepora02443	Function Unknown
Amillepora02444	Function Unknown
Amillepora02446	Function Unknown
Amillepora02454	Function Unknown
Amillepora02447	Function Unknown
Amillepora02452	Function Unknown
Amillepora02456	Replication, recombination and repair
Amillepora02457	Function Unknown
Amillepora02458	Lipid transport and metabolism
Amillepora02450	Function Unknown
Amillepora02451	Function Unknown
Amillepora02449	Function Unknown
Amillepora02459	Energy production and conversion
Amillepora02462	Replication, recombination and repair
Amillepora02464	Function Unknown
Amillepora02463	Replication, recombination and repair
Amillepora02460	Posttranslational modification, protein turnover, chaperones
Amillepora02481	Translation, ribosomal structure and biogenesis
Amillepora02478	Intracellular trafficking, secretion, and vesicular transport
Amillepora02476	Function Unknown
Amillepora02480	Transcription
Amillepora02483	Function Unknown
Amillepora02482	Function Unknown
Amillepora02484	Translation, ribosomal structure and biogenesis
Amillepora02496	Signal transduction mechanisms
Amillepora02487	Function Unknown
Amillepora02485	Function Unknown
Amillepora02486	Function Unknown
Amillepora02495	Function Unknown
Amillepora02491	Posttranslational modification, protein turnover, chaperones
Amillepora02494	Function Unknown
Amillepora02492	Intracellular trafficking, secretion, and vesicular transport
Amillepora02498	Intracellular trafficking, secretion, and vesicular transport
Amillepora02499	Transcription
Amillepora02503	Function Unknown
