Amillepora27470	T
Amillepora27481	O
Amillepora27482	T
Amillepora27486	T
Amillepora27487	A
Amillepora27484	L
Amillepora27477	J
Amillepora27490	Z
Amillepora27489	H
Amillepora27495	O
Amillepora27494	U
Amillepora27498	Z
Amillepora27497	T
Amillepora27500	T
Amillepora27507	V
Amillepora27503	T
Amillepora27510	T
Amillepora27506	O
Amillepora27509	J
Amillepora27516	Q
Amillepora27518	I
Amillepora27521	G
Amillepora27519	O
Amillepora27522	U
Amillepora27525	Q
Amillepora27527	K
Amillepora27528	Z
Amillepora27529	V
Amillepora27536	L
Amillepora27540	T
Amillepora27533	A
Amillepora27539	L
Amillepora27542	L
Amillepora27543	A
Amillepora27547	O
Amillepora27552	A
Amillepora27560	T
Amillepora27557	O
Amillepora27556	O
Amillepora27553	U
Amillepora27566	O
Amillepora27575	L
Amillepora27576	G
Amillepora12916	W
Amillepora12915	G
Amillepora12918	O
Amillepora12914	H
Amillepora12917	W
Amillepora12920	O
Amillepora12911	H
Amillepora12926	T
Amillepora12924	T
Amillepora12928	E
Amillepora12934	C
Amillepora12933	T
Amillepora12938	E
Amillepora12935	L
Amillepora12937	L
Amillepora12939	E
Amillepora12936	K
Amillepora12947	P
Amillepora12950	J
Amillepora12943	Q
Amillepora12951	I
Amillepora12952	K
Amillepora12941	L
Amillepora12956	G
Amillepora12954	T
Amillepora12957	Z
Amillepora12958	Z
Amillepora12962	Q
Amillepora12970	O
Amillepora12963	F
Amillepora12972	T
Amillepora12966	G
Amillepora12969	M
Amillepora12974	T
Amillepora12978	U
Amillepora12975	P
Amillepora12976	Z
Amillepora12977	Z
Amillepora12983	K
Amillepora12984	P
Amillepora12982	Q
Amillepora12979	G
Amillepora13001	T
Amillepora12997	L
Amillepora13005	Z
Amillepora13027	E
Amillepora13023	O
Amillepora13016	O
Amillepora13024	U
Amillepora13020	O
Amillepora13017	T
Amillepora13022	O
Amillepora13015	P
Amillepora13019	T
Amillepora13026	O
Amillepora13028	K
Amillepora13029	K
Amillepora13033	O
Amillepora13030	K
Amillepora13036	O
Amillepora13039	T
Amillepora13037	E
Amillepora13041	T
Amillepora13045	W
Amillepora13048	I
Amillepora13058	M
Amillepora13053	B
Amillepora13061	O
Amillepora13066	K
Amillepora13064	K
Amillepora13065	K
Amillepora13063	K
Amillepora13076	G
Amillepora13068	I
Amillepora13067	K
Amillepora13077	F
Amillepora13073	T
Amillepora13071	W
Amillepora13083	J
Amillepora13080	K
Amillepora13079	K
Amillepora13082	O
Amillepora13091	J
Amillepora13090	O
Amillepora13089	A
Amillepora13088	I
Amillepora13098	K
Amillepora13100	P
Amillepora13095	T
Amillepora13094	P
Amillepora13099	E
Amillepora13103	P
Amillepora13106	B
Amillepora13112	Z
Amillepora13109	P
Amillepora13116	D
Amillepora13126	J
Amillepora13125	T
