Run	Bioproject	LibraryLayout	rawCounts	trimmedCounts	predupMapped	dedupMapped	geneCounted
s44_S81	This study	SINGLE	1070334	1063839	866328	392051	242080
s45_S82	This study	SINGLE	1467744	1458153	1232223	576851	360246
s46_S83	This study	SINGLE	2237676	2220843	1686271	851262	525094
s47_S84	This study	SINGLE	2101138	2086046	1613416	729234	435909
s48_S85	This study	SINGLE	1736242	1723514	1300176	650271	394880
s49_S86	This study	SINGLE	1762063	1749072	1440229	751043	475277
s5_S43	This study	SINGLE	1741424	1726701	1369743	676548	409282
s50_S87	This study	SINGLE	1745297	1732025	1422263	757912	484705
s51_S88	This study	SINGLE	1651105	1638964	1355297	714553	455886
s52_S89	This study	SINGLE	1739839	1727506	1420504	739374	475158
s53_S90	This study	SINGLE	2016336	2001936	1671314	841445	542146
s54_S91	This study	SINGLE	1688136	1674892	1388501	740817	475798
s55_S92	This study	SINGLE	1996012	1981361	1513205	777651	475769
s56_S93	This study	SINGLE	1990056	1976757	1421852	715708	437803
s57_S94	This study	SINGLE	1839557	1826641	1394281	757273	467059
s58_S95	This study	SINGLE	1424241	1412917	1117948	617043	383736
s59_S96	This study	SINGLE	1531732	1520868	1163160	636630	392975
s6_S44	This study	SINGLE	1871035	1856394	1433203	626743	373012
s60_S97	This study	SINGLE	1520521	1509028	1194225	593865	358803
s61_S98	This study	SINGLE	1707740	1695447	1394722	700815	436401
s62_S99	This study	SINGLE	1945977	1930846	1538677	743246	464132
s63_S100	This study	SINGLE	1916296	1900921	1480208	665683	407440
s64_S101	This study	SINGLE	1974918	1960390	1508313	681076	415986
s65_S102	This study	SINGLE	1833637	1819366	1436480	719218	443161
s66_S103	This study	SINGLE	1407466	1396830	1141899	600191	379759
s67_S104	This study	SINGLE	1642402	1628394	1360641	658143	409555
s68_S105	This study	SINGLE	1785757	1771448	1420420	720048	434068
s69_S106	This study	SINGLE	1814211	1798525	1483200	731773	441140
s7_S45	This study	SINGLE	2036217	2020882	1593749	702861	430402
s70_S107	This study	SINGLE	1958756	1943132	1560980	746673	451402
s71_S108	This study	SINGLE	2367021	2346360	1928313	920956	557953
s72_S109	This study	SINGLE	1912157	1896436	1509046	706493	424138
s73_S110	This study	SINGLE	1842239	1827877	1489507	723136	449270
s74_S111	This study	SINGLE	1595308	1582931	1249548	651670	392315
s75_S112	This study	SINGLE	1712434	1697543	1347306	599299	367928
s76_S113	This study	SINGLE	2019040	2002566	1615887	697498	411289
s77_S114	This study	SINGLE	1947679	1930268	1550022	626418	367061
s78_S115	This study	SINGLE	1797401	1782708	1412133	642858	380011
s79_S116	This study	SINGLE	1898597	1883179	1614449	696311	433672
s8_S46	This study	SINGLE	1995718	1981133	1508534	660746	396394
s80_S117	This study	SINGLE	1904693	1888410	1622972	683797	427468
s81_S118	This study	SINGLE	1714392	1702235	1364718	656746	418624
s82_S119	This study	SINGLE	1726058	1712089	1394324	780581	484468
s83_S120	This study	SINGLE	1655538	1640779	1322558	684033	419769
s84_S121	This study	SINGLE	1813624	1798122	1462997	681436	411445
s85_S122	This study	SINGLE	2078244	2058296	1721136	650736	380133
s86_S123	This study	SINGLE	1722319	1707555	1440729	563837	331225
s87_S124	This study	SINGLE	1751880	1735862	1439621	571258	337445
s88_S125	This study	SINGLE	1882911	1867128	1561251	614676	370175
s89_S126	This study	SINGLE	1835480	1819776	1479381	640317	385597
s9_S47	This study	SINGLE	1984813	1969015	1505801	661986	396720
s90_S127	This study	SINGLE	1718149	1705166	1383038	623804	379788
s91_S128	This study	SINGLE	1570305	1557179	1238865	628213	385708
s92_S129	This study	SINGLE	1684534	1671112	1315086	627917	383501
s93_S130	This study	SINGLE	1951277	1934489	1551525	665575	405204
s94_S131	This study	SINGLE	1704214	1689304	1387499	552978	333235
s95_S132	This study	SINGLE	1675927	1661393	1360048	599517	366090
s96_S133	This study	SINGLE	1938342	1923877	1559265	748776	459568
s97_S134	This study	SINGLE	1943512	1926852	1571888	653066	386658
s98_S135	This study	SINGLE	1278332	1267401	1008088	521591	310865
s99_S136	This study	SINGLE	1307530	1296710	1013344	526111	314060
SRR1015298	PRJNA222758	SINGLE	4919853	4895628	3411954	2463029	1885740
SRR1015321	PRJNA222758	SINGLE	7602534	7355785	3622877	2924756	2216393
SRR1015323	PRJNA222758	SINGLE	7599200	7536268	4081206	3268612	2535791
SRR1015325	PRJNA222758	SINGLE	14658595	14545610	7685928	5264803	4040692
SRR1015327	PRJNA222758	SINGLE	15276530	15187110	9929883	6169214	4605456
SRR1015331	PRJNA222758	SINGLE	9959364	9882484	7602118	4889839	3720503
SRR1015340	PRJNA222758	SINGLE	5090010	4909988	2686220	2088118	1520976
SRR1015344	PRJNA222758	SINGLE	7753708	7707794	1817332	1106864	812616
SRR1015349	PRJNA222758	SINGLE	3928621	3773516	2445805	2028758	1522218
SRR1015354	PRJNA222758	SINGLE	6563066	6352010	3578042	2807079	2111081
SRR1015358	PRJNA222758	SINGLE	15412184	15309191	8529784	5627450	4264418
SRR1206126	PRJNA242821	SINGLE	6512894	6216053	4112659	2175368	1240968
SRR1206127	PRJNA242821	SINGLE	14091616	13406852	8636611	3961273	2384724
SRR1206128	PRJNA242821	SINGLE	7811133	7452653	4791029	2660751	1575103
SRR1206129	PRJNA242821	SINGLE	8001581	7658112	4953706	2012289	1112883
SRR1206130	PRJNA242821	SINGLE	7770760	7415042	4810545	2519763	1514972
SRR1206131	PRJNA242821	SINGLE	7743729	7380221	4784109	2524623	1549001
SRR1206132	PRJNA242821	SINGLE	15061018	14346733	8978500	4157898	2498499
SRR1206133	PRJNA242821	SINGLE	7050864	6736911	4288464	2368314	1387999
SRR1206134	PRJNA242821	SINGLE	8888596	8485391	5516435	2864603	1676935
SRR1206135	PRJNA242821	SINGLE	8484325	8092185	5274699	2615865	1579921
SRR1206136	PRJNA242821	SINGLE	5305968	4939217	3160820	1855626	1124821
SRR1206137	PRJNA242821	SINGLE	20435133	19426798	11804249	4980323	3037249
SRR1566164	PRJNA260269	SINGLE	12269208	12246960	11530317	6823356	5249447
SRR1566165	PRJNA260269	SINGLE	12534784	12509822	11763997	7244402	5595785
SRR1566166	PRJNA260269	SINGLE	12898069	12875540	12116865	7153429	5537109
SRR1566167	PRJNA260269	SINGLE	12501088	12471041	11718130	7078990	5431536
SRR1566168	PRJNA260269	SINGLE	12631481	12610605	11869929	7170019	5628308
SRR1566169	PRJNA260269	SINGLE	12467897	12444417	11709208	6188382	4817192
SRR1653608	PRJNA266455	SINGLE	24416729	24252867	17435269	4428372	3330560
SRR1653611	PRJNA266455	SINGLE	27588956	27452854	20282711	4241153	3174715
SRR1653613	PRJNA266455	SINGLE	2645729	2574534	1905405	1619715	1247805
SRR1653615	PRJNA266455	SINGLE	4446938	4390880	3417333	2762206	2097660
SRR1654664	PRJNA266455	SINGLE	11599658	10689032	7715510	5493713	4195585
SRR1654665	PRJNA266455	SINGLE	19865403	18686785	14183032	9047895	6787560
SRR1703716	PRJNA269992	SINGLE	39559337	38888355	31488510	16070438	11624569
SRR1703717	PRJNA269992	SINGLE	33736675	32895222	24919610	12613414	9144131
SRR1703718	PRJNA269992	SINGLE	34500222	33449045	25319294	14086118	10192384
SRR1706955	PRJNA269992	SINGLE	61610173	61218356	45532217	22041340	15865254
SRR1812166	PRJNA274410	SINGLE	12778011	12571709	7675130	3905409	2443150
SRR1812167	PRJNA274410	SINGLE	15641172	15471243	9521360	4278182	2465168
SRR1812168	PRJNA274410	SINGLE	15912475	15750159	9998525	4209375	2335988
SRR1812169	PRJNA274410	SINGLE	11729564	11715043	9259292	3609431	2120712
SRR1812170	PRJNA274410	SINGLE	16189295	16136935	11784985	4895621	2785202
SRR1812171	PRJNA274410	SINGLE	13334847	13304721	8843490	4142135	2332504
SRR1812172	PRJNA274410	SINGLE	16600423	16584788	11741249	5139389	3081462
SRR1812173	PRJNA274410	SINGLE	14449010	14399734	9081743	4234097	2527473
SRR1812174	PRJNA274410	SINGLE	14267316	14244598	9359189	4178716	2379692
SRR1812175	PRJNA274410	SINGLE	12562144	12493613	6638303	3132305	1682645
SRR1812176	PRJNA274410	SINGLE	12370134	12308865	7619584	2941736	1742912
SRR1812177	PRJNA274410	SINGLE	14757896	14744855	9012887	3313053	1798453
SRR1812178	PRJNA274410	SINGLE	21495396	21375706	14195195	4467658	2413660
SRR1812179	PRJNA274410	SINGLE	11336544	11218614	8775133	3151514	1806112
SRR1812180	PRJNA274410	SINGLE	12638368	12595151	9575129	3642584	2146163
SRR1812181	PRJNA274410	SINGLE	11774547	11736864	6987510	3313396	1987130
SRR1812182	PRJNA274410	SINGLE	20136626	20068370	14290248	4716000	2674373
SRR1812183	PRJNA274410	SINGLE	16333244	16217290	11884193	3042792	1459188
SRR1812184	PRJNA274410	SINGLE	17522364	17499705	11303740	3632768	2054298
SRR1812185	PRJNA274410	SINGLE	13632540	13587586	8007762	3281990	1894217
SRR1812186	PRJNA274410	SINGLE	13466085	13259064	9046506	4167996	2393925
SRR1812187	PRJNA274410	SINGLE	16319629	16194960	10778839	5094020	3138521
SRR1812188	PRJNA274410	SINGLE	11251455	11100079	7347601	3698995	2087342
SRR1812189	PRJNA274410	SINGLE	15630171	15203464	10591125	4686676	2800407
SRR1812190	PRJNA274410	SINGLE	14536378	14511270	10076319	4918786	3079755
SRR1812191	PRJNA274410	SINGLE	13523938	13512882	9090351	4477382	2763017
SRR1812192	PRJNA274410	SINGLE	16922482	16894589	10386252	4965939	3110371
SRR1812193	PRJNA274410	SINGLE	14541609	14520795	9914613	4714272	2939873
SRR1812194	PRJNA274410	SINGLE	13505758	13448177	7592961	3851850	2341131
SRR1812195	PRJNA274410	SINGLE	17035885	16877798	11822047	4508837	2201208
SRR1812196	PRJNA274410	SINGLE	17512537	17257282	14128979	4347454	2578756
SRR1812197	PRJNA274410	SINGLE	11899752	11659110	8614106	3338906	1924101
SRR1812198	PRJNA274410	SINGLE	15139306	15016287	11460782	4606079	2818569
SRR1812199	PRJNA274410	SINGLE	19930111	19902282	13974586	5041067	2911649
SRR1812200	PRJNA274410	SINGLE	14074215	14043980	8696313	3440783	2002301
SRR1812201	PRJNA274410	SINGLE	14297611	14263267	9101474	3444332	2039178
SRR1812202	PRJNA274410	SINGLE	12461975	12432804	8993766	3701531	2064107
SRR1812203	PRJNA274410	SINGLE	11893668	11816855	5226841	2443953	1430558
SRR1812204	PRJNA274410	SINGLE	12879008	12855068	8526922	4087997	2493971
