gene,contribution
Amillepora17189,8.123433469798882e-5
Amillepora17200,1.212776179946074e-6
Amillepora17203,2.947971986640127e-5
Amillepora17204,1.329499310032429e-4
Amillepora17208,1.5245247792970945e-4
Amillepora17212,7.364909487087276e-6
Amillepora17218,3.133119779241155e-7
Amillepora17222,1.3246720161110554e-4
Amillepora17241,3.916621280281828e-4
Amillepora17269,6.518036820994523e-6
Amillepora17270,6.444783424634421e-5
Amillepora17278,1.1098225409337759e-7
Amillepora17273,3.717212996046986e-5
Amillepora17287,5.155990556511918e-5
Amillepora17295,2.4126068661271726e-4
Amillepora17311,1.1776806836514203e-6
Amillepora17315,4.3717004423719065e-6
Amillepora17317,2.8535580778073227e-6
Amillepora17319,3.510128071844232e-5
Amillepora17314,3.9785427404506363e-8
Amillepora17320,1.8043848787060353e-7
Amillepora17327,2.2574686905982146e-6
Amillepora17331,1.997189565917835e-8
Amillepora17339,1.8729265780429156e-5
Amillepora17340,4.497485030812993e-5
Amillepora17366,1.9233735047170642e-5
Amillepora17362,1.378171574183628e-6
Amillepora17373,1.2815641426510415e-5
Amillepora17376,3.657183972100473e-5
Amillepora17374,3.09406538634633e-4
Amillepora17380,4.462899358042609e-6
Amillepora17387,2.8229814522918913e-6
Amillepora17392,1.626833221759148e-5
Amillepora17396,2.1359296612608725e-4
Amillepora17403,2.2381098664342266e-7
Amillepora17397,1.5313458567641431e-6
Amillepora17405,1.829654430695519e-5
Amillepora17472,2.708323380960781e-5
Amillepora17492,1.3891947406345195e-5
Amillepora17493,6.610645433139944e-6
Amillepora17504,8.477095507145475e-6
Amillepora17506,1.5663617770871345e-4
Amillepora17505,6.520212049906987e-5
Amillepora17507,1.8702222949083492e-5
Amillepora17500,2.1293719228210704e-5
Amillepora17590,6.821885282531052e-6
Amillepora17606,3.5869924306925966e-5
Amillepora17690,6.976338503351645e-5
Amillepora17714,4.294003657385859e-4
Amillepora17711,6.9118903904825e-7
Amillepora17715,1.0242748824549796e-4
Amillepora17725,3.37265661456478e-5
Amillepora17719,2.1613803787854624e-4
Amillepora17726,7.16675670766823e-6
Amillepora17728,3.3473176408219774e-4
Amillepora17727,8.769924031807423e-5
Amillepora17730,7.337098199128866e-5
Amillepora17754,2.4429263225770285e-5
Amillepora17749,7.097979166803949e-5
Amillepora17756,1.8456244690323322e-5
Amillepora17755,1.6135029141872845e-5
Amillepora17757,1.3175587632234458e-4
Amillepora17766,1.2670102279112257e-5
