sample	sitesH	sitesA	sitesB	sitesC	sitesD	countH	countA	countB	countC	countD	fracZ	fracA	fracB	fracC	fracD
s151_S185.sam	23844	4	56	20386	81	36931	9	171	29363	4828	0.48205	0.000	0.005	0.854	0.140
s152_S186.sam	31754	5	63	17914	92	50987	6	190	27884	7006	0.40763	0.000	0.005	0.795	0.200
s153_S187.sam	33622	4	54	15947	105	51706	4	158	24091	6717	0.37459	0.000	0.005	0.778	0.217
s154_S188.sam	31265	2	64	15644	102	45649	3	281	22688	7068	0.39689	0.000	0.009	0.755	0.235
s155_S189.sam	29117	5	57	14405	90	41604	9	220	22397	7214	0.41767	0.000	0.007	0.751	0.242
s156_S190.sam	32630	2	55	11401	100	47571	3	146	19599	9059	0.37716	0.000	0.005	0.680	0.314
s157_S191.sam	24525	1	46	12232	85	38566	1	148	17716	4514	0.36720	0.000	0.007	0.792	0.202
s158_S192.sam	21250	1	42	13037	81	32342	3	139	18749	3792	0.41223	0.000	0.006	0.827	0.167
s159_S193.sam	25138	1	17	3251	88	38558	1	22	7196	4597	0.23457	0.000	0.002	0.609	0.389
s15_S53.sam	25082	3	75	27993	97	34526	3	367	40190	5889	0.57362	0.000	0.008	0.865	0.127
s160_S194.sam	34743	4	94	33471	109	53183	7	541	50620	7228	0.52336	0.000	0.009	0.867	0.124
s161_S195.sam	30497	3	69	21777	104	45072	3	387	32110	5904	0.46006	0.000	0.010	0.836	0.154
s162_S196.sam	28059	5	83	33249	105	40556	6	374	47403	4809	0.56461	0.000	0.007	0.901	0.091
s163_S197.sam	30889	4	86	33801	107	49100	6	293	50490	6090	0.53670	0.000	0.005	0.888	0.107
s164_S198.sam	26167	5	79	28668	108	36798	6	309	40466	5207	0.55550	0.000	0.007	0.880	0.113
s165_S199.sam	29551	4	67	23601	93	43006	6	247	33909	6282	0.48465	0.000	0.006	0.838	0.155
s166_S200.sam	30154	6	31	10648	83	47784	7	74	16037	5395	0.31045	0.000	0.003	0.745	0.251
s167_S201.sam	29482	4	34	11965	82	45707	4	78	17273	4862	0.32709	0.000	0.004	0.777	0.219
s168_S202.sam	27124	14	67	35543	102	45301	24	246	50659	4613	0.55078	0.000	0.004	0.912	0.083
s169_S203.sam	30487	16	71	24348	102	53387	22	243	35947	7072	0.44775	0.001	0.006	0.830	0.163
s16_S54.sam	34405	3	19	6538	102	52824	3	73	15408	8735	0.31436	0.000	0.003	0.636	0.361
s170_S204.sam	29450	3	58	20437	101	49862	6	214	30305	7084	0.42996	0.000	0.006	0.806	0.188
s171_S205.sam	37521	3	52	20131	106	63253	4	198	30341	7825	0.37756	0.000	0.005	0.791	0.204
s172_S206.sam	25475	7	72	25994	90	39598	9	257	37504	6721	0.52909	0.000	0.006	0.843	0.151
s173_S207.sam	23599	8	41	16901	88	34935	10	138	24142	5400	0.45942	0.000	0.005	0.813	0.182
s176_S208.sam	31015	1	44	10149	95	48767	3	111	14525	4355	0.28031	0.000	0.006	0.765	0.229
s177_S209.sam	23015	4	31	11513	96	35531	7	92	15856	4009	0.35974	0.000	0.005	0.794	0.201
s17_S55.sam	32588	4	59	14086	96	50254	5	212	23063	6735	0.37393	0.000	0.007	0.768	0.224
s181_S210.sam	26365	5	77	32504	102	38534	8	376	47533	6553	0.58567	0.000	0.007	0.873	0.120
s182_S211.sam	29112	2	47	13921	97	43257	2	166	21407	6954	0.39742	0.000	0.006	0.750	0.244
s183_S212.sam	24983	2	66	21299	95	35443	3	275	30471	5030	0.50236	0.000	0.008	0.852	0.141
s18_S56.sam	31064	3	58	13700	108	46596	4	214	22512	7322	0.39208	0.000	0.007	0.749	0.244
s190_S213.sam	27072	3	27	5466	85	40063	3	78	9686	5198	0.27195	0.000	0.005	0.647	0.347
s191_S214.sam	28294	3	54	10663	97	40448	4	183	16876	5344	0.35649	0.000	0.008	0.753	0.238
