sample	all	nonSym	cladeA	cladeB	cladeC	cladeD
SRR1812214	5860838	4912901	169	8340	17760	921668
SRR1812215	5484475	4654586	123	12223	16185	801358
SRR1812216	7019547	5707430	261	9219	24067	1278570
SRR1812217	5938310	5402438	594	7307	12832	515139
SRR1812218	6275194	5163608	186	10948	20030	1080422
SRR1812219	4594243	3545125	114	3611	1040813	4580
SRR1812220	5792936	5195227	144	12274	12299	572992
SRR1812221	5860837	5204055	112	7495	12381	636794
SRR1812222	5833937	5251660	240	10372	12459	559206
SRR1812223	6964061	6358336	238	11804	12964	580719
SRR1812224	7120210	6282406	123	6704	607906	223071
SRR1812225	6229139	4958836	115	9435	1088240	172513
SRR1812226	6519956	5699210	91	4637	738739	77279
SRR1812227	5138789	4007803	233	6150	1119965	4638
SRR1812228	10056014	9470945	188	13948	13218	557715
SRR1812229	6194107	4763121	132	5547	1420958	4349
SRR1812230	7614010	6554247	390	9238	18664	1031471
SRR1812231	6591008	5560589	202	7331	1016474	6412
SRR1812232	7711504	5909191	164	6524	1787848	7777
SRR1812233	6755462	5882183	134	5647	690095	177403
SRR1812234	5863131	4742978	174	6018	919051	194910
SRR1812235	6165819	5349741	109	4454	724135	87380
SRR1812236	6976731	5090384	275	6902	1873566	5604
SRR1812237	7089706	5882953	242	27961	26552	1151998
SRR1812238	6368861	5514879	102	4021	845593	4266
SRR1812239	6327219	5496825	193	7570	15683	806948
SRR1812240	5722201	4781132	267	5066	925820	9916
SRR1812241	5207402	3593016	211	6961	1600662	6552
SRR1812242	8054813	6970162	197	27400	24929	1032125
SRR1812243	5218234	4267402	348	24694	22474	903316
SRR1812244	6933438	6431612	148	4740	10589	486349
SRR1812245	8833201	8473106	92	2484	7996	349523
SRR1812246	6831175	6304693	124	3469	11678	511211
SRR1812247	7684417	6541242	127	7238	905061	230749
SRR1812248	3221533	2691607	221	3548	13021	513136
SRR1812249	5969663	5044243	210	3547	38577	883086
SRR1812250	6969285	6042668	296	5976	16863	903482
SRR1812251	7129681	5816535	792	6887	23397	1282070
SRR1812252	10551511	9322132	243	11995	25801	1191340
SRR1812253	5498944	4807070	184	18924	17476	655290
SRR1812254	8458647	7510077	1077	5132	18096	924265
SRR1812255	6814966	6473981	4981	724	8610	326670
SRR1812256	5613742	4967603	192	3575	12706	629666
SRR1812257	6342757	5438727	96	4134	727367	172433
SRR1812258	5840234	4205557	553	5167	26041	1602916
SRR1812259	5754713	4609332	508	10750	237980	896143
SRR1812260	10655226	8926119	797	16684	33207	1678419
SRR1812261	5871011	4438426	861	15666	26611	1389447
SRR1812262	8953911	8197067	179	3225	645878	107562
SRR1812263	5554838	4782322	100	5911	718389	48116
SRR1812264	7863626	6890814	133	6715	790496	175468
SRR1812265	8357822	7173082	227	14008	27036	1143469
SRR1812266	7186938	6377945	140	15059	17368	776426
SRR1812267	4922375	4041170	113	6891	868198	6003
SRR1812268	10344837	9012980	155	4829	1319490	7383
SRR1812269	7538362	6571817	134	3525	956839	6047
SRR1812270	6572859	4711902	243	12746	1802228	45740
SRR1812271	7821432	6483955	197	4309	970231	362740
SRR1812272	5866725	5350050	160	4080	447425	65010
SRR1812273	6531083	5738490	133	4281	476527	311652
SRR1812274	6306284	6051492	3539	2328	5867	243058
SRR1812275	7385793	6499544	173	3783	15843	866450
SRR1812276	7526990	5639821	418	12234	1865744	8773
SRR1812277	6755658	5895655	123	2928	851874	5078
SRR1812278	5629579	4701521	250	3058	918106	6644
SRR1812279	7441784	6582888	1219	4091	810328	43258
SRR1812280	6477472	5735899	135	14764	16787	709887
SRR1812281	5873982	4670129	179	26097	24628	1152949
SRR1812282	6739434	6070110	142	5012	12918	651252
SRR1812283	10679544	10163011	133	14456	14957	486987
SRR1812284	4815329	4331447	144	9708	12582	461448
SRR1812285	7841256	6820099	117	5458	1010422	5160
SRR1812286	6469345	5520586	259	8943	17610	921947
SRR1812287	5591318	4767265	127	3476	13457	806993
SRR1812288	4589618	3740967	150	5022	14347	829132
SRR1812289	4977667	4200453	128	4030	12703	760353
SRR1812290	1549005	1239228	79	3536	6052	300110
SRR1812291	6374823	5415996	141	18830	22795	917061
SRR1812292	8693514	7853570	6239	2244	15932	815529
SRR1812293	6730451	6288416	584	1651	9640	430160
SRR1812294	5140769	3613234	248	15558	26884	1484845
SRR1812295	5452155	4887494	1038	1701	558088	3834
SRR1812296	7304559	5825426	219	10766	25816	1442332
SRR1812297	8129022	6811277	197	8256	22271	1287021
SRR1812298	6025736	4818233	187	7500	18865	1180951
SRR1812299	8462423	7405343	173	8119	18049	1030739
SRR1812300	4205980	3776978	166	2286	306160	120390
SRR1812301	5409717	4661120	388	6010	613390	128809
SRR1812302	6519508	5690094	106	4400	732007	92901
SRR1812303	5746957	4890645	123	8420	841346	6423
SRR1812304	6548621	5363318	345	5519	20802	1158637
SRR1812305	6262202	5368248	130	5366	883511	4947
SRR1812306	5776671	5256890	290	3283	12071	504137
SRR1812307	7085013	5949344	207	4902	1058616	71944
SRR1812308	5580316	4764310	102	4535	807306	4063
SRR1812309	7709136	7093659	98	3498	475326	136555
SRR1812310	5396440	4618317	149	6583	484604	286787
SRR1812311	7958216	7072972	866	3956	730787	149635
SRR1812312	5590812	4025445	446	7624	1546641	10656
SRR1812313	6973055	6180767	245	5003	14185	772855
SRR1812314	5508131	4533000	217	6487	963465	4962
SRR1812315	5218963	4426052	296	5197	15578	771840
SRR1812316	6417193	5768700	250	2870	638672	6701
SRR1812317	6451062	5061586	1276	8339	1369001	10860
SRR1842722	18052508	18051711	0	0	409	388
SRR1842771	16489319	16488668	0	0	331	320
SRR1842773	17364921	17363969	0	0	488	464
SRR1842776	16655091	16654703	0	0	190	198
SRR1842777	15439502	15438940	1	0	285	276
SRR1842828	14432819	14432231	0	0	301	287
SRR1843797	14539110	14534658	300	32	3729	391
SRR1853176	12761127	11599194	95574	2662	1061602	2095
SRR1853185	14964458	13811277	94634	2554	1054645	1348
SRR1853188	15480965	14022797	20173	2956	1433275	1764
SRR1853192	15423003	14138190	61759	2546	1219121	1387
SRR1853195	16714190	15317426	326950	3316	1065020	1478
SRR1853198	17026183	15703154	44168	2766	1274467	1628
SRR1853201	16125591	14757847	161871	2862	1201456	1555
SRR1853204	16770603	15293900	37340	2809	1434804	1750
SRR1853208	59804	54646	403	12	4729	14
SRR1853209	16244467	14739139	155014	3062	1345716	1536
SRR1853210	15372181	13679603	12996	3492	1674367	1723
SRR1853211	13533069	12451264	27403	2182	1050932	1288
SRR1853246	12917245	11224122	284927	4505	1402295	1396
SRR1853247	16200761	15058868	18032	2781	1119783	1297
SRR1853248	15263623	14030652	14304	2454	1214650	1563
SRR1853249	14736350	13433368	113759	2893	1185054	1276
SRR1853250	15758034	14411848	94631	3169	1246884	1502
SRR1853251	13542200	12493658	30162	2176	1014922	1282
SRR1853252	15511747	14203684	160786	2855	1143048	1374
SRR1853253	13735938	12480381	32129	2710	1219516	1202
SRR1853254	12873072	11868537	47659	2323	953533	1020
SRR1929581	1102750	1076236	45	961	23013	2495
SRR1929582	1050191	1022699	40	845	24406	2201
SRR1929583	662064	652277	17	407	7837	1526
SRR1929584	1357030	1271295	81	1740	81258	2656
SRR1929585	704074	665368	51	1043	35906	1706
SRR1929586	704840	656020	62	1101	45862	1795
SRR1929587	511952	486431	28	673	22575	2245
SRR1929588	559089	541793	17	473	14840	1966
SRR1929589	414206	390802	27	696	20491	2190
SRR1929590	980784	868333	86	1801	108859	1705
SRR1929591	958082	861325	73	1840	92330	2514
SRR1929592	1376309	1267885	97	2362	103160	2805
SRR1929593	482349	404185	76	1943	73828	2317
SRR1929594	438723	394216	36	1229	41295	1947
SRR1929595	357711	314680	30	827	40388	1786
SRR1929596	1169882	1020926	133	2402	143435	2986
SRR1929597	1625756	1408032	160	3061	211380	3123
SRR1929598	1946082	1770936	178	3037	167897	4034
SRR1929599	606347	545270	70	1761	56858	2388
SRR1929600	705766	658739	47	1596	43407	1977
SRR1929601	725194	667671	55	1687	53600	2181
SRR1929602	1610014	1489757	129	3044	114429	2655
SRR1929603	1550483	1396630	164	3101	148030	2558
SRR1929604	1179563	1074484	147	2971	99494	2467
SRR1929605	1407418	1398668	9	23	5197	3521
SRR1929606	1402607	1395303	5	11	4471	2817
SRR1929607	590280	585737	2	7	2597	1937
SRR1929608	536324	530489	1	9	3473	2352
SRR1929609	590075	585984	3	11	2166	1911
SRR1929610	353345	349103	4	8	2399	1831
SRR1929611	697233	691365	3	12	3503	2350
SRR1929612	1019692	1012275	9	14	4544	2850
SRR1929613	546240	543097	1	10	1548	1584
SRR1929614	584727	579569	2	3	2971	2182
SRR1929615	608846	603971	2	4	2800	2069
SRR1929616	603782	598110	3	13	3186	2470
SRR1929617	680089	673915	1	8	3659	2506
SRR1929618	402744	397928	1	8	2932	1875
SRR1929619	365616	361725	4	7	2101	1779
SRR1929620	362394	356900	0	4	3151	2339
SRR1929621	799176	793026	3	12	3265	2870
SRR1929622	806268	800329	2	6	3457	2474
SRR1929623	334320	331585	1	3	1327	1404
SRR1929624	292024	288939	2	6	1661	1416
SRR1929625	327040	323573	3	4	1976	1484
SRR1929626	770967	765908	1	4	2550	2504
SRR1929627	769740	764368	5	11	2700	2656
SRR1929628	615306	610391	2	5	2679	2229
SRR1929629	767553	763264	3	8	2054	2224
SRR1929630	524514	520187	1	5	2072	2249
SRR1929631	687265	681625	1	11	2972	2656
SRR1929632	523763	518318	1	7	3133	2304
SRR1929633	898938	894808	2	14	2190	1924
SRR1929634	369227	365323	1	3	2382	1518
SRR2086157	30758454	27793666	155	7991	2952829	3813
SRR2086158	29667908	26086638	153	9779	3567426	3912
SRR2086159	30607843	25340847	239	15314	5245628	5815
SRR2086160	35103072	29191995	307	18786	5885102	6882
SRR2086161	36733807	31747451	284	14612	4965623	5837
SRR2086162	36414115	31999506	255	13911	4394746	5697
SRR2912590	288831	287325	5	4	1091	406
SRR2912591	371248	370131	0	4	698	415
SRR2912592	368101	366801	2	6	956	336
SRR2912593	363272	361789	3	9	978	493
SRR2912594	434	428	0	0	6	0
SRR2912595	277901	276793	1	5	734	368
SRR2912596	351806	350321	7	3	1025	450
SRR2912597	331385	330507	2	2	487	387
