my_title,Run,my_stage,Organism,projType,treat,treatDescription,special,geneCounted,rawCounts,bleached,stress,LibraryLayout
G_barilanU_moonlight_PRJNA276913,SRR1853250,adult,Acropora millepora,light,not_done_yet,0730PM_Ambient_15/11/2011,none,9110111,16491943,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853251,adult,Acropora millepora,light,not_done_yet,0600PM_Ambient_15/11/2011,none,8349158,14254737,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853252,adult,Acropora millepora,light,not_done_yet,0600PM_Light_15/11/2011,none,9281920,16303243,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853253,adult,Acropora millepora,light,not_done_yet,0900PM_Ambient_12/11/2011,none,7356542,14122402,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853254,adult,Acropora millepora,light,not_done_yet,0900PM_Light_12/11/2011,none,7682903,13434342,NA,not_a_stress_experiment,PAIRED
H_matz_heatTolLat_PRJNA279192,SRR1929634,larval,Acropora millepora,temperature_resilience,none,DC3,larvae_not_treated,187361,644054,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929633,larval,Acropora millepora,temperature_resilience,none,DC2,larvae_not_treated,418834,1549043,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929631,larval,Acropora millepora,temperature_resilience,none,CD3,larvae_not_treated,329021,1221235,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929632,larval,Acropora millepora,temperature_resilience,none,DC1,larvae_not_treated,262087,933287,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929630,larval,Acropora millepora,temperature_resilience,none,CD2,larvae_not_treated,280063,944530,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929629,larval,Acropora millepora,temperature_resilience,none,CD1,larvae_not_treated,353998,1348253,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929628,larval,Acropora millepora,temperature_resilience,none,CB3,larvae_not_treated,299639,1092661,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929627,larval,Acropora millepora,temperature_resilience,none,CB2,larvae_not_treated,387466,1401108,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929626,larval,Acropora millepora,temperature_resilience,none,CB1,larvae_not_treated,357915,1380271,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929625,larval,Acropora millepora,temperature_resilience,none,CA3,larvae_not_treated,192345,587276,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929624,larval,Acropora millepora,temperature_resilience,none,CA2,larvae_not_treated,176318,524399,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929623,larval,Acropora millepora,temperature_resilience,none,CA1,larvae_not_treated,187750,599093,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929622,larval,Acropora millepora,temperature_resilience,none,BD3,larvae_not_treated,383384,1414183,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929621,larval,Acropora millepora,temperature_resilience,none,BD2,larvae_not_treated,375946,1389559,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929620,larval,Acropora millepora,temperature_resilience,none,BD1,larvae_not_treated,171120,640446,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929618,larval,Acropora millepora,temperature_resilience,none,BC2,larvae_not_treated,192932,709694,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929619,larval,Acropora millepora,temperature_resilience,none,BC3,larvae_not_treated,194497,631905,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929617,larval,Acropora millepora,temperature_resilience,none,BC1,larvae_not_treated,333647,1192463,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929616,larval,Acropora millepora,temperature_resilience,none,BA3,larvae_not_treated,315817,1066885,NA,not_a_stress_experiment,SINGLE
