sample_name,sample_title,organism,isolate,breed,isolation_source,collection_date,geo_loc_name,tissue,age,description,method,fileName
Tw.L1.C.tp1.3,s129_S163,Acropora millepora,Tw_L1_C_tp1_3,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=three_way;colony=L1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=three_way;colony=L1;treatment=;replicate=3;timepoint=1,s129_S163.fastq.gz
Tw.N2.C.tp1.1,s130_S164,Acropora millepora,Tw_N2_C_tp1_1,N2,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=three_way;colony=N2;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=three_way;colony=N2;treatment=;replicate=1;timepoint=1,s130_S164.fastq.gz
Tw.N2.C.tp1.2,s131_S165,Acropora millepora,Tw_N2_C_tp1_2,N2,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=three_way;colony=N2;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=three_way;colony=N2;treatment=;replicate=2;timepoint=1,s131_S165.fastq.gz
Tw.N2.C.tp1.3,s132_S166,Acropora millepora,Tw_N2_C_tp1_3,N2,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=three_way;colony=N2;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=three_way;colony=N2;treatment=;replicate=3;timepoint=1,s132_S166.fastq.gz
Ht2.N1.T.tp1.1,s133_S167,Acropora millepora,Ht2_N1_T_tp1_1,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat2;colony=N1;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=heat2;colony=N1;treatment=;replicate=1;timepoint=1,s133_S167.fastq.gz
Ht2.N1.T.tp1.2,s134_S168,Acropora millepora,Ht2_N1_T_tp1_2,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat2;colony=N1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=heat2;colony=N1;treatment=;replicate=2;timepoint=1,s134_S168.fastq.gz
Ht2.N1.T.tp1.3,s135_S169,Acropora millepora,Ht2_N1_T_tp1_3,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat2;colony=N1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=heat2;colony=N1;treatment=;replicate=3;timepoint=1,s135_S169.fastq.gz
HtC.L1.T.tp1.1,s136_S170,Acropora millepora,HtC_L1_T_tp1_1,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=hot_to_cold;colony=L1;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=hot_to_cold;colony=L1;treatment=;replicate=1;timepoint=1,s136_S170.fastq.gz
HtC.L1.T.tp1.2,s137_S171,Acropora millepora,HtC_L1_T_tp1_2,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=hot_to_cold;colony=L1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=hot_to_cold;colony=L1;treatment=;replicate=2;timepoint=1,s137_S171.fastq.gz
HtC.L1.T.tp1.3,s138_S172,Acropora millepora,HtC_L1_T_tp1_3,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=hot_to_cold;colony=L1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=hot_to_cold;colony=L1;treatment=;replicate=3;timepoint=1,s138_S172.fastq.gz
Tw.N1.C.tp1.1,s139_S173,Acropora millepora,Tw_N1_C_tp1_1,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=three_way;colony=N1;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=three_way;colony=N1;treatment=;replicate=1;timepoint=1,s139_S173.fastq.gz
Tw.N1.C.tp1.2,s140_S174,Acropora millepora,Tw_N1_C_tp1_2,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=three_way;colony=N1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=three_way;colony=N1;treatment=;replicate=2;timepoint=1,s140_S174.fastq.gz
Tw.N1.C.tp1.3,s141_S175,Acropora millepora,Tw_N1_C_tp1_3,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=three_way;colony=N1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=three_way;colony=N1;treatment=;replicate=3;timepoint=1,s141_S175.fastq.gz
