file	all	nonSym	cladeC	cladeD
SRR1812269_symbCounts.tsv	3600329	2857357	737014	5958
SRR1812270_symbCounts.tsv	3337850	2156925	1137209	43716
SRR1812271_symbCounts.tsv	3559704	2533830	720611	305263
SRR1812272_symbCounts.tsv	2714236	2278162	374885	61189
SRR1812273_symbCounts.tsv	3054751	2399333	393238	262180
SRR1812274_symbCounts.tsv	2537380	2325327	3220	208833
SRR1812275_symbCounts.tsv	3594908	2930901	6037	657970
SRR1812276_symbCounts.tsv	3741379	2500058	1235026	6295
SRR1812277_symbCounts.tsv	3387703	2707629	674897	5177
SRR1812278_symbCounts.tsv	3012626	2273674	735151	3801
SRR1812279_symbCounts.tsv	3400950	2739140	622380	39430
SRR1812280_symbCounts.tsv	3054339	2515766	5080	533493
SRR1812281_symbCounts.tsv	3032153	2203548	5735	822870
SRR1812282_symbCounts.tsv	3061714	2563818	4027	493869
SRR1812283_symbCounts.tsv	3616372	3272499	4471	339402
SRR1812284_symbCounts.tsv	2539858	2162099	3889	373870
SRR1812285_symbCounts.tsv	3463410	2750623	707750	5037
SRR1812286_symbCounts.tsv	3322490	2622085	5388	695017
SRR1812287_symbCounts.tsv	2985229	2356653	4429	624147
SRR1812288_symbCounts.tsv	2614943	1966104	5001	643838
SRR1812289_symbCounts.tsv	2829989	2222846	4285	602858
SRR1812290_symbCounts.tsv	1010117	750309	2732	257076
SRR1812291_symbCounts.tsv	2955366	2306976	6764	641626
SRR1812292_symbCounts.tsv	3255466	2674485	5559	575422
SRR1812293_symbCounts.tsv	2685826	2323511	5110	357205
SRR1812294_symbCounts.tsv	2816432	1805983	7371	1003078
SRR1812295_symbCounts.tsv	2363250	1890277	469513	3460
SRR1812296_symbCounts.tsv	3645209	2600748	8004	1036457
SRR1812297_symbCounts.tsv	3920306	2982557	6066	931683
SRR1812298_symbCounts.tsv	3167920	2284883	4874	878163
SRR1812299_symbCounts.tsv	3785405	3017783	5663	761959
SRR1812300_symbCounts.tsv	2267436	1886696	270494	110246
SRR1812301_symbCounts.tsv	2772185	2174197	480394	117594
SRR1812302_symbCounts.tsv	3181666	2523091	571394	87181
SRR1812303_symbCounts.tsv	2608816	2051598	551014	6204
SRR1812304_symbCounts.tsv	3366897	2561438	5398	800061
SRR1812305_symbCounts.tsv	2864942	2257889	602216	4837
SRR1812306_symbCounts.tsv	2471046	2120467	4507	346072
SRR1812307_symbCounts.tsv	3621043	2748898	802177	69968
SRR1812308_symbCounts.tsv	2844663	2218404	622153	4106
SRR1812309_symbCounts.tsv	3399802	2871212	401196	127394
SRR1812310_symbCounts.tsv	2769455	2118763	404333	246359
SRR1812311_symbCounts.tsv	3566800	2860022	571081	135697
SRR1812312_symbCounts.tsv	2676825	1759747	908596	8482
SRR1812313_symbCounts.tsv	3098279	2543955	3916	550408
SRR1812314_symbCounts.tsv	2642022	1975414	662063	4545
SRR1812315_symbCounts.tsv	2352821	1844071	4032	504718
SRR1812316_symbCounts.tsv	2795912	2310825	480088	4999
SRR1812317_symbCounts.tsv	2857869	2024089	825603	8177
SRR1842722_symbCounts.tsv	8177804	8177606	90	108
SRR1842771_symbCounts.tsv	8069645	8069452	83	110
SRR1842773_symbCounts.tsv	8417194	8416973	92	129
SRR1842776_symbCounts.tsv	7472477	7472322	73	82
SRR1842777_symbCounts.tsv	7659850	7659677	83	90
SRR1842828_symbCounts.tsv	7272727	7272538	85	104
SRR1843797_symbCounts.tsv	12483193	12478765	4138	290
SRR1853176_symbCounts.tsv	12351721	11146099	1198410	7212
SRR1853185_symbCounts.tsv	14354868	13161516	1190537	2815
SRR1853188_symbCounts.tsv	15013027	13390881	1618298	3848
SRR1853192_symbCounts.tsv	14791949	13411077	1377861	3011
SRR1853195_symbCounts.tsv	15817860	14614040	1200536	3284
SRR1853198_symbCounts.tsv	16434313	15000771	1430361	3181
SRR1853201_symbCounts.tsv	15436384	14074208	1358397	3779
SRR1853204_symbCounts.tsv	16070107	14468448	1598370	3289
SRR1853208_symbCounts.tsv	16052020	14610935	1437820	3265
SRR1853209_symbCounts.tsv	15491433	13972658	1515174	3601
SRR1853210_symbCounts.tsv	14863352	12956957	1902419	3976
SRR1853211_symbCounts.tsv	13090841	11895840	1191488	3513
SRR1853246_symbCounts.tsv	12200494	10594785	1602019	3690
SRR1853247_symbCounts.tsv	15128305	13850258	1274717	3330
SRR1853248_symbCounts.tsv	14828100	13445831	1378760	3509
SRR1853249_symbCounts.tsv	14006871	12651400	1352104	3367
SRR1853250_symbCounts.tsv	15020034	13589912	1426364	3758
SRR1853251_symbCounts.tsv	13143278	11980031	1160225	3022
SRR1853252_symbCounts.tsv	14764128	13457362	1303748	3018
SRR1853253_symbCounts.tsv	12884695	11490342	1391196	3157
SRR1853254_symbCounts.tsv	12322166	11226494	1092823	2849
SRR1929581_symbCounts.tsv	448526	434388	13960	178
SRR1929582_symbCounts.tsv	431392	416539	14697	156
SRR1929583_symbCounts.tsv	285345	280566	4673	106
SRR1929584_symbCounts.tsv	592047	547916	43906	225
SRR1929585_symbCounts.tsv	333005	310880	21961	164
SRR1929586_symbCounts.tsv	344425	317488	26763	174
SRR1929587_symbCounts.tsv	246449	233170	13140	139
SRR1929588_symbCounts.tsv	256546	247573	8856	117
SRR1929589_symbCounts.tsv	225448	212432	12866	150
SRR1929590_symbCounts.tsv	436637	383974	52452	211
SRR1929591_symbCounts.tsv	443875	397013	46656	206
SRR1929592_symbCounts.tsv	572569	521489	50837	243
SRR1929593_symbCounts.tsv	239779	204844	34716	219
SRR1929594_symbCounts.tsv	221516	199480	21830	206
SRR1929595_symbCounts.tsv	197562	174189	23098	275
SRR1929596_symbCounts.tsv	525934	461409	64137	388
SRR1929597_symbCounts.tsv	653921	567135	86368	418
SRR1929598_symbCounts.tsv	800668	728408	71852	408
SRR1929599_symbCounts.tsv	292043	261411	30372	260
SRR1929600_symbCounts.tsv	320803	297921	22675	207
SRR1929601_symbCounts.tsv	319213	291587	27411	215
SRR1929602_symbCounts.tsv	642666	590555	51829	282
SRR1929603_symbCounts.tsv	599428	534748	64315	365
SRR1929604_symbCounts.tsv	551817	504245	47258	314
SRR1929605_symbCounts.tsv	620900	620482	318	100
SRR1929606_symbCounts.tsv	557462	557022	360	80
SRR1929607_symbCounts.tsv	286130	285881	173	76
SRR1929608_symbCounts.tsv	295034	294788	174	72
SRR1929609_symbCounts.tsv	300831	300578	177	76
SRR1929610_symbCounts.tsv	203032	202805	158	69
SRR1929611_symbCounts.tsv	347831	347501	254	76
SRR1929612_symbCounts.tsv	466137	465641	419	77
SRR1929613_symbCounts.tsv	252272	252017	189	66
SRR1929614_symbCounts.tsv	293434	293119	238	77
SRR1929615_symbCounts.tsv	295468	295184	212	72
SRR1929616_symbCounts.tsv	312996	312721	200	75
