gene	lassoCoef	MeanDecreaseAccuracy	MeanDecreaseGini
Amillepora18443	-0.02405773861167446	-1.4705882352941177e-5	0.017425882352944257
Amillepora18445	0	0	0
Amillepora18441	0	0	0
Amillepora18439	0	0	0
Amillepora18450	0	0	0
Amillepora18457	0	0	0
Amillepora18452	0	0	0
Amillepora18456	0	4.2553191489361704e-5	0.010637904277116434
Amillepora18448	0	0	0
Amillepora18454	0	1.5037593984962406e-5	0.013271889400921673
Amillepora18455	0	0	0
Amillepora18449	0	0	0
Amillepora18453	0	2.0851299060254284e-4	0.11954014272524731
Amillepora18447	0	0	0
Amillepora18451	0	1.1510791366906476e-4	0.04286150420308411
Amillepora18461	0	0	0
Amillepora18458	0	0	0
Amillepora18463	0	0	0
Amillepora18462	0	0	0.03253207050776109
Amillepora18466	0	0	0
