Run,BioProject,Reference,Reference_year,Reference_DOI,Organism,Developmental_stage,Project_type,Treatment,Treat_description,Raw_counts,Gene_counted
SRR1853249,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0730PM_Light_15/11/2011,15513104,8609047
SRR1853250,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0730PM_Ambient_15/11/2011,16491943,9110111
SRR1853251,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0600PM_Ambient_15/11/2011,14254737,8349158
SRR1853252,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0600PM_Light_15/11/2011,16303243,9281920
SRR1853253,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0900PM_Ambient_12/11/2011,14122402,7356542
SRR1853254,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0900PM_Light_12/11/2011,13434342,7682903
SRR1929634,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,DC3,644054,187361
SRR1929633,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,DC2,1549043,418834
SRR1929631,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,CD3,1221235,329021
SRR1929632,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,DC1,933287,262087
SRR1929630,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,CD2,944530,280063
SRR1929629,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,CD1,1348253,353998
SRR1929628,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,CB3,1092661,299639
SRR1929627,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,CB2,1401108,387466
SRR1929626,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,CB1,1380271,357915
SRR1929625,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,CA3,587276,192345
SRR1929624,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,CA2,524399,176318
SRR1929623,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,CA1,599093,187750
SRR1929622,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,BD3,1414183,383384
SRR1929621,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,BD2,1389559,375946
SRR1929620,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,BD1,640446,171120
SRR1929618,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,BC2,709694,192932
SRR1929619,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,BC3,631905,194497
SRR1929617,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,BC1,1192463,333647
SRR1929616,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,BA3,1066885,315817
